Kanji,Hiragana,English,Origin,Difficulty
たばこを吸う,たばこをすう,To smoke,Genki 1.6,1
使う,つかう,To use,Genki 1.6,1
手伝う,てつだう,To help,Genki 1.6,1
入る,はいる,To enter,Genki 1.6,1
持つ,もつ,To carry,Genki 1.6,2
休む,やすむ,"To be absent, to rest",Genki 1.6,1
開ける,あける,To open,Genki 1.6,1
閉める,しめる,To close,Genki 1.6,1
教える,おしえる,"To instruct, teach",Genki 1.6,1
降りる,おりる,To get off,Genki 1.6,1
借りる,かりる,To borrow,Genki 1.6,1
シャワーを浴びる,シャワーをあびる,To shower,Genki 1.6,1
電話する,でんわする,To call,Genki 1.6,1
連れてくる,つれてくる,To bring (a person),Genki 1.6,1
持ってくる,もってくる,To bring (a thing),Genki 1.6,1
後で,あとで,"Later, afterwards",Genki 1.6,2
結構です,けっこうです,"Sufficient, wonderful, ""I'm fine"", ""No thanks""",Genki 1.6,1
本当ですか,ほんとうですか,Really?,Genki 1.6,1
家族,かぞく,Family,Genki 1.7,1
父,ちち,My father,Genki 1.7,1
母,はは,My mother,Genki 1.7,1
兄,あに,My older brother,Genki 1.7,1
お兄さん,おにいさん,Older brother,Genki 1.7,1
姉,あね,My older sister,Genki 1.7,1
お姉さん,おねえさん,Older sister,Genki 1.7,1
弟,おとうと,My younger brother,Genki 1.7,1
妹,いもうと,My younger sister,Genki 1.7,1
兄弟,きょうだい,Siblings,Genki 1.7,1
男の人,おとこのひと,Man,Genki 1.7,1
女の人,おんなのひと,Woman,Genki 1.7,1
会社,かいしゃ,"Office, company",Genki 1.7,1
食堂,しょくどう,Cafeteria ,Genki 1.7,1
髪,かみ,Hair,Genki 1.7,1
目,め,Eye,Genki 1.7,1
口,くち,Mouth,Genki 1.7,1
別に,べつに,Nothing in particular,Genki 1.7,2
眼鏡,めがね,Eyeglasses ,Genki 1.7,1
車,くるま,Car,Genki 1.7,1
歌,うた,Song,Genki 1.7,1
長い,ながい,Long (length),Genki 1.7,1
短い,みじかい,Short (length),Genki 1.7,2
速い,はやい,Fast,Genki 1.7,1
背が高い,せがたかい,Tall (stature),Genki 1.7,1
背が低い,せがひくい,Short (stature),Genki 1.7,2
頭がいい,あたまがいい,"Clever, bright",Genki 1.7,2
親切,しんせつ,"Kind, gentle, considerate",Genki 1.7,3
便利,べんり,Convenient,Genki 1.7,2
歌う,うたう,To sing,Genki 1.7,1
被る,かぶる,To put on (head),Genki 1.7,1
履く,はく,To put on (lower body),Genki 1.7,1
知る,しる,To get to know,Genki 1.7,1
住む,すむ,To live,Genki 1.7,1
働く,はたらく,To work,Genki 1.7,1
太る,ふとる,To gain weight,Genki 1.7,1
着る,きる,To put on (upper body),Genki 1.7,1
結婚する,けっこんする,To get married,Genki 1.7,3
私,わたし,I,Duolingo 1,1
名,な,"Title, prefix",Duolingo 1,1
名前,なまえ,Name,Duolingo 1,1
名前,?????,From (country),Duolingo 1,1
言い,いい,Call (named),Duolingo 1,1
気,き,Spirit,Duolingo 1,1
先生,せんせい,Teacher,Duolingo 1,1
学生,がくせい,Student,Duolingo 1,1
本田,ほんだ,Honda (name),Duolingo 1,1
田中,たなか,Tanaka (name),Duolingo 1,1
中村,なかむら,Nakamura (name),Duolingo 1,1
茂,しげる,Shigeru (name),Duolingo 1,1
桜,さくら,Sakura (name),Duolingo 1,1
中国,ちゅうごく,China,Duolingo 1,1
日本,にほん,Japan,Duolingo 1,1
語,ご,Language,Duolingo 1,1
英語,えいご,English,Duolingo 1,1
鳥,とり,Bird,Duolingo 1,1
何,なに,What,Duolingo 1,1
卵,たまご,Egg,Duolingo 2.1,1
分,ぷん,Minute,Duolingo 2.1,1
今,いま,Now,Duolingo 2.1,1
半,はん,Half,Duolingo 2.1,1
午前,ごぜん,A.M.,Duolingo 2.1,1
午後,ごご,P.M.,Duolingo 2.1,1
零時,れいじ,Midnight,Duolingo 2.1,1
月,げつ,Month (moon),Duolingo 2.1,1
曜日,ようび,Day,Duolingo 2.1,1
明日,あした,Tomorrow,Duolingo 2.1,1
明後日,あさって,The day after tomorrow,Duolingo 2.1,1
一昨日,おととい,The day before yesterday,Duolingo 2.1,1
平日,へいじつ,Weekday,Duolingo 2.1,1
昼,ひる,"Afternoon, midday",Duolingo 2.1,1
晩,ばん,Night,Duolingo 2.1,1
良く,よく,Often,Duolingo 2.1,2
羽,わ,Counter for birds and rabbits,Duolingo 2.1,1
歳,さい,Counter for age,Duolingo 2.1,1
