Kanji,Hiragana,English,Origin,Difficulty,Category
好き,すき,Like,Genki 1.5,1,Adjective - な
嫌い,きらい,Dislike,Genki 1.5,1,Adjective - な
大好き,だいすき,Love,Genki 1.5,1,Adjective - な
大嫌い,だいきらい,Hate,Genki 1.5,1,Adjective - な
元気,げんき,"Lively, well",Genki 1.5,1,Adjective - な
静か,しずか,Quiet,Genki 1.5,1,Adjective - な
暇,ひま,Free (not busy),Genki 1.5,1,Adjective - な
泳ぐ,およぐ,To swim,Genki 1.5,1,Verb - Godan
乗る,のる,To ride,Genki 1.5,1,Verb - Godan
出かける,でかける,To go out,Genki 1.5,1,Verb - Ichidan
一緒に,いっしょに,Together ,Genki 1.5,1,Adverb
大丈夫,だいじょうぶ,"Surely, problem-free, ""that's alright""",Genki 1.5,1,Adjective - な
枚,まい,Counter for flat objects,Genki 1.5,1,Counter
漢字,かんじ,Kanji,Genki 1.6,1,Noun - Concept
次,つぎ,Next,Genki 1.6,1,Noun - Concept
夜,よる,Night,Genki 1.6,1,Noun - Concept
教科書,きょうかしょ,Textbook,Genki 1.6,2,Noun - Object
お金,おかね,Money,Genki 1.6,2,Noun - Object
荷物,にもつ,Luggage ,Genki 1.6,1,Noun - Object
窓,まど,Window,Genki 1.6,1,Noun - Object
電車,でんしゃ,Train,Genki 1.6,1,Noun - Object
電気,でんき,Electricity,Genki 1.6,1,Noun - Concept
国,くに,Origin,Genki 1.6,1,Noun - Concept
今週,こんしゅう,This week,Genki 1.6,1,Noun - Date
来月,らいげつ,Next month,Genki 1.6,1,Noun - Date
来年,らいねん,Next year,Genki 1.6,1,Noun - Date
大変,たいへん,"Very, greatly, terribly, awfully",Genki 1.6,1,Adjective - な
遊ぶ,あそぶ,To play,Genki 1.6,1,Verb - Godan
急ぐ,いそぐ,To hurry,Genki 1.6,1,Verb - Godan
返す,かえす,To return,Genki 1.6,1,Verb - Godan
座る,すわる,To sit,Genki 1.6,1,Verb - Godan
立つ,たつ,To stand,Genki 1.6,1,Verb - Godan
たばこを吸う,たばこをすう,To smoke,Genki 1.6,1,Verb - Godan
使う,つかう,To use,Genki 1.6,1,Verb - Godan
手伝う,てつだう,To help,Genki 1.6,1,Verb - Godan
入る,はいる,To enter,Genki 1.6,1,Verb - Godan
持つ,もつ,To carry,Genki 1.6,2,Verb - Godan
休む,やすむ,"To be absent, to rest",Genki 1.6,1,Verb - Godan
開ける,あける,To open,Genki 1.6,1,Verb - Ichidan
閉める,しめる,To close,Genki 1.6,1,Verb - Ichidan
教える,おしえる,"To instruct, teach",Genki 1.6,1,Verb - Ichidan
降りる,おりる,To get off,Genki 1.6,1,Verb - Ichidan
借りる,かりる,To borrow,Genki 1.6,1,Verb - Ichidan
シャワーを浴びる,シャワーをあびる,To shower,Genki 1.6,1,Verb - Ichidan
電話する,でんわする,To call,Genki 1.6,1,Verb - suru
連れて来る,つれてくる,To bring (a person),Genki 1.6,1,Verb - kuru
持って来る,もってくる,To bring (a thing),Genki 1.6,1,Verb - kuru
