Kanji,Hiragana,English,Origin,Difficulty,Category
練習する,れんしゅうする,To practice,Duolingo 2.2,2,Verb - suru
料理する,りょうりする,To cook ,Duolingo 2.2,1,Verb - suru
向こう,むこう,"Opposite side, over there",Duolingo 2.2,1,Noun - Location
遠い,とおい,Far ,Duolingo 2.2,1,Adjective - い
近い,ちかい,Close,Duolingo 2.2,1,Adjective - い
遅い,おそい,Slow,Duolingo 2.2,1,Adjective - い
欲しい,ほしい,Want,Duolingo 2.2,2,Adjective - い
明るい,あかるい,Bright,Duolingo 2.2,2,Adjective - い
暗い,くらい,Dark,Duolingo 2.2,1,Adjective - い
暖かい,あたたかい,Warm,Duolingo 2.2,2,Adjective - い
涼しい,すずしい,Cool,Duolingo 2.2,1,Adjective - い
良い,よい,Good,Duolingo 2.2,1,Adjective - い
悪い,わるい,Bad,Duolingo 2.2,1,Adjective - い
弱い,よわい,Weak,Duolingo 2.2,1,Adjective - い
強い,つよい,Strong,Duolingo 2.2,2,Adjective - い
多い,おおい,"Numerous, a lot, many",Duolingo 2.2,1,Adjective - い
広い,ひろい,"Spacious, big",Duolingo 2.2,3,Adjective - い
狭い,せまい,"Narrow, small",Duolingo 2.2,2,Adjective - い
塩っぱい,しおっぱい,Salty,Duolingo 2.2,1,Adjective - い
晴れ,はれ,"Clear, sunny",Duolingo 2.2,1,Adjective - な
曇り,くもり,Cloudy,Duolingo 2.2,1,Adjective - な
少ない,すくない,"Few, scarce, insufficient",Duolingo 2.2,2,Adjective - い
全部,ぜんぐ,All,Duolingo 2.2,2,Adverb
結構,けっこう,"Splendid, wonderful, nice ",Duolingo 2.2,2,Adjective - な
何曜日,なんようび,What day ,Duolingo 2.2,1,Noun - Concept
二十日,はつか,20th day ,Duolingo 2.2,1,Noun - Concept
ヶ月,かげつ、っかげつ,Month counter,Duolingo 2.2,1,Counter
何月,なんつき,What month,Duolingo 2.2,2,Noun - Concept
年,ねん、とし,Year ,Duolingo 2.2,1,Noun - Concept
一昨年,おととし,The year before last,Duolingo 2.2,2,Noun - Concept
去年,きょねん,Last year,Duolingo 2.2,1,Noun - Concept
今年,ことし,This year,Duolingo 2.2,1,Noun - Concept
来年,らいねん,Next year,Duolingo 2.2,0,Noun - Concept
再来年,さらいねん,The year after next,Duolingo 2.2,1,Noun - Concept
毎晩,まいばん,Every night,Duolingo 2.2,0,Frequency
毎週月曜日,まいしゅうげつようび,Every Monday,Duolingo 2.2,1,Frequency
毎週,まいしゅう,Every week,Duolingo 2.2,0,Frequency
毎年,まいとし,Every year,Duolingo 2.2,1,Frequency
毎月,まいつき,Every month,Duolingo 2.2,2,Frequency
旅行に行く,りょこうにいく,To travel to ,Duolingo 2.2,1,Verb - Godan
出かける,でかける,To go out,Duolingo 2.2,0,Verb - Ichidan
休み,やすみ,Vacation,Duolingo 2.2,0,Noun - Concept
夏休み,なつやすみ,Summer vacation,Duolingo 2.2,1,Noun - Concept
雨の日,あめのひ,Rainy day ,Duolingo 2.2,2,Noun - Concept
誕生日,たんじょうび,Birthday ,Duolingo 2.2,0,Noun - Concept
